ori,des,path,len
49,8,49_365_48_41_378_382_353_1_127_409_71_26_342_8,14
317,8,317_315_303_272_306_387_398_386_91_85_312_348_83_78_49_365_48_41_378_382_353_1_127_409_71_26_342_8,28
317,78,317_315_303_272_306_387_398_386_91_85_312_348_83_78,14
93,247,93_78_49_365_48_42_38_36_247,9
91,8,91_85_312_348_83_78_49_365_48_41_378_382_353_1_127_409_71_26_342_8,20
194,393,194_181_313_183_180_418_249_165_175_160_168_167_393,13
40,8,40_49_365_48_41_378_382_353_1_127_409_71_26_342_8,15
195,393,195_194_181_313_183_180_418_249_165_175_160_168_167_393,14
195,393,195_194_181_313_183_180_418_249_165_175_160_168_167_393,14
40,51,40_49_365_47_44_51,6
195,393,195_194_181_313_183_180_418_249_165_175_160_168_167_393,14
177,155,177_178_187_147_149_225_152_153_155,9
313,393,313_183_180_418_249_165_175_160_168_167_393,11
195,393,195_194_181_313_183_180_418_249_165_175_160_168_167_393,14
377,393,377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,17
197,393,197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,15
96,180,96_337_229_197_195_194_181_313_183_180,10
377,393,377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,17
146,393,146_147_149_225_152_153_154_156_165_175_160_168_167_393,14
207,155,207_146_147_149_225_152_153_155,8
207,154,207_146_147_149_225_152_153_154,8
207,155,207_146_147_149_225_152_153_155,8
207,155,207_146_147_149_225_152_153_155,8
207,155,207_146_147_149_225_152_153_155,8
177,155,177_178_187_147_149_225_152_153_155,9
180,393,180_418_249_165_175_160_168_167_393,9
248,202,248_411_413_185_222_213_295_202,8
401,323,401_284_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,18
244,311,244_34_33_31_358_40_50_19_24_350_311,11
233,258,233_244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,23
201,323,201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,17
401,323,401_284_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,18
233,21,233_244_34_33_31_358_40_50_20_23_73_21,12
248,202,248_411_413_185_222_213_295_202,8
233,258,233_244_34_33_31_358_40_50_19_24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,24
233,279,233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,15
233,51,233_244_34_33_31_358_40_49_365_47_44_51,12
244,323,244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,15
244,323,244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,15
233,74,233_244_34_33_31_358_39_74,8
201,21,201_233_244_34_33_31_358_40_50_20_23_73_21,13
201,51,201_233_244_34_33_31_358_40_49_365_47_44_51,13
201,258,201_233_244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,24
401,373,401_284_233_244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_273_271_373,22
401,323,401_284_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,18
284,279,284_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,16
313,393,313_183_180_418_249_165_175_160_168_167_393,11
414,221,414_248_411_413_185_221,6
192,256,192_181_313_183_180_418_249_164_256,9
248,393,248_411_412_183_180_418_249_165_175_160_168_167_393,13
415,187,415_250_335_158_177_178_187,7
335,147,335_158_177_178_187_147,6
199,155,199_207_146_147_149_225_152_153_155,9
199,155,199_207_146_147_149_225_152_153_155,9
199,155,199_207_146_147_149_225_152_153_155,9
105,323,105_112_114_116_276_273_272_306_387_398_386_90_89_279_323,15
199,155,199_207_146_147_149_225_152_153_155,9
30,255,30_234_377_229_197_195_194_181_313_183_180_418_249_165_174_255,16
30,417,30_234_377_229_197_195_194_181_313_183_180_417,12
109,404,109_108_106_267_262_315_303_272_305_404,10
180,393,180_418_249_165_175_160_168_167_393,9
180,393,180_418_249_165_175_160_168_167_393,9
30,183,30_234_377_229_197_195_194_181_313_183,10
165,393,165_175_160_168_167_393,6
418,393,418_249_165_175_160_168_167_393,8
47,155,47_45_42_37_39_75_308_235_231_232_199_207_146_147_149_225_152_153_155,19
249,393,249_165_175_160_168_167_393,7
52,155,52_361_0_367_352_246_30_235_231_232_199_207_146_147_149_225_152_153_155,19
30,393,30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,19
30,393,30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,19
30,393,30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,19
301,89,301_276_273_272_306_387_398_386_90_89,10
249,393,249_165_175_160_168_167_393,7
30,225,30_235_231_232_199_207_146_147_149_225,10
75,155,75_308_235_231_232_199_207_146_147_149_225_152_153_155,14
165,393,165_175_160_168_167_393,6
418,393,418_249_165_175_160_168_167_393,8
165,393,165_175_160_168_167_393,6
165,393,165_175_160_168_167_393,6
156,393,156_165_175_160_168_167_393,7
156,393,156_165_175_160_168_167_393,7
156,393,156_165_175_160_168_167_393,7
